"","Avg_Tumor","Avg_Normal","SD_Tumor","SD_Normal","p.val_Tumor_Normal"
"A1BG",172.688040366627,76.4202786945688,156.287568710963,51.4391236482867,1.15609305113071e-19
"A1CF",0.0532966477316777,0.0556310135707668,0.27438555179154,0.15302514967352,0.92043840990899
"A2BP1",72.1798948610963,2.17749215096134,214.088058784616,2.74055526636515,5.57637028308274e-13
"A2LD1",113.361834378944,97.7532531565412,53.0296341143684,44.4603190086672,0.014515874474301
"A2M",11645.8869244246,7555.52858098046,6276.78394261642,3966.62929149565,3.92881985204289e-10
"A2ML1",1.39340924527604,1.56935814798892,6.52159259690263,1.68657262371756,0.627363917684344
"A4GALT",376.537493264067,264.929516641613,291.870390409559,121.901139804095,1.90057640354934e-07
"A4GNT",0.909394470101775,1.63199961164995,1.36891656581668,2.51742769703363,0.0339860384707712
"AAA1",0.187572916341794,0.00388883009934279,0.840505768166166,0.0298706707817503,1.14526503654134e-06
"AAAS",787.561360258278,719.306822614383,317.127467002033,323.538702069386,0.128539516103479
"AACS",721.103538809166,743.364804842757,373.916552653647,367.546238700188,0.661399061546391
"AACSL",0.213702783492932,0.123634272975147,0.524512609416769,0.269097829249956,0.0340400446017869
"AADAC",0.838650304097992,2.83673956214007,3.66047693291167,4.39108126512451,0.00127152161076857
"AADACL2",0.038506519655313,0.121250641257076,0.180671875724508,0.205062109287823,0.00410223011968318
"AADACL3",0.0262828574324174,0,0.134251077094899,0,1.13175240795216e-05
"AADACL4",0.160103239107612,0.172945391070337,0.464222336367518,0.343956679164057,0.794904917975821
"AADAT",159.218068724318,165.194685624476,140.129671262761,100.427875825102,0.680490204744355
"AAGAB",1188.42159379912,1241.14841127575,576.504401763369,680.028159554343,0.568953605057344
"AAK1",2009.66193852955,3707.8243797527,1555.22262435115,2471.07689358594,2.61977149821368e-06
"AAMP",3052.29863623012,2981.05621058799,1218.78377481938,1484.36672536313,0.723590521776417
"AANAT",1.29384912117578,1.93161907043741,1.70894882684808,1.17831019739621,0.000336022133056076
"AARS",4325.62115233806,4495.74804787223,2759.19007476819,2419.74387230204,0.615924273123999
"AARS2",460.25991633873,458.985480559241,173.200593894284,229.107316029378,0.9671112820944
"AARSD1",817.633219281598,653.543479513204,367.40133510593,327.39736505497,0.000569001794633596
"AASDH",285.96860190474,376.53958080401,146.092143656661,186.094739174687,0.000583566766744456
"AASDHPPT",940.800303686258,878.313111972643,424.175203401746,477.154039866292,0.338866049109325
"AASS",347.883281114165,565.269649540947,214.212906960879,306.578016191104,1.49712217146113e-06
"AATF",1223.54105440247,1004.4312914739,441.816032732955,451.254166902399,0.000709627349047151
"AATK",180.985349114667,119.006093903834,195.140182408379,80.0530325407453,9.30975483830103e-06
"ABAT",3033.6107195665,3505.87824148626,2821.4792147071,2406.65302462377,0.165303931701725
"ABCA10",17.1770199541045,59.2015592387374,19.9364182531742,44.6499228179412,1.32259212764603e-09
"ABCA1",1386.55383982474,773.737733931284,1029.50659366006,510.935420611811,6.56389343172001e-12
"ABCA11P",150.337307658467,158.600131016586,78.8967140511698,90.4429485059281,0.503262956856443
"ABCA12",8.41114361966327,0.290968641633322,31.932243872203,0.530741778249714,1.50879349374806e-08
"ABCA13",199.652721253138,178.356881544895,475.312138631064,141.21991592571,0.44598718008267
"ABCA17P",23.5285737731544,25.8804523340534,19.1914933074009,14.0323682125339,0.246111912226826
"ABCA2",4700.36729643244,3493.00918062332,3410.16941877883,2178.57998886717,0.000294478084196709
"ABCA3",2769.86676732399,2779.05846734633,1443.31317311889,1510.95849422161,0.964668716995395
"ABCA4",45.694975540904,17.9891104196249,53.3549038454759,12.101379814179,2.53040214593696e-20
"ABCA5",563.427925931441,581.967230317745,395.262092134356,296.76858752511,0.663016245981738
"ABCA6",38.5807043772573,143.529803702924,42.2899612093925,90.9877609959936,2.28979266439111e-12
"ABCA7",693.024767921081,470.137347768734,413.975761797064,216.179112542784,1.07845887216701e-09
"ABCA8",337.001482566837,630.524809563146,462.590227480147,450.656900462996,1.09352887087032e-05
"ABCA9",24.5213980349459,220.158275529502,31.7330451073712,166.115129149163,1.11059240981791e-12
"ABCB10",318.897323006132,424.170746428563,159.043958044632,226.609968043848,0.00092738224826427
"ABCB11",0.234090028283725,0.981712359369281,0.681536615367763,2.0106794783043,0.00620954955714278
"ABCB1",141.339538059089,124.287497713449,141.898097335808,78.2145710512565,0.156659494752857
"ABCB4",16.0907133085156,16.972184628246,23.2145492639493,17.6866998700455,0.727427376834276
"ABCB5",0.447521714033192,0.335062543108249,1.04027735510402,0.540826084488508,0.183604226897193
"ABCB6",537.947974624727,726.76367944882,358.442689604759,406.393502545639,0.0010601592956425
"ABCB7",489.192967510154,416.092934462489,227.798465513142,217.325436658658,0.0173462750271219
"ABCB8",863.009132029489,921.590318191201,399.782357429236,462.448057051072,0.353736509357772
"ABCB9",187.944863043216,94.7765213379939,97.6310257718173,46.7434841514312,7.26375724820887e-24
"ABCC10",557.10526581127,424.418648481647,217.654615540117,186.430180679032,2.51699274425391e-06
"ABCC11",99.2778838246734,1.61982894017153,442.754095432278,1.21450698075937,8.05973489471768e-07
"ABCC12",5.31523354646083,0.279233301483317,36.4716641363886,0.536321522540274,0.00188163750284537
"ABCC13",0.490072159508208,0.32912172866657,1.00952917042358,0.530891325120572,0.0527863571468345
"ABCC1",1647.81130718146,1985.16384634634,945.075734608037,1034.3777146849,0.0194181925295858
"ABCC2",4.14829981625276,6.62507461626774,3.67483437890601,4.23543764556099,5.37557171839209e-05
"ABCC3",2290.21780710731,335.207419518948,2182.24793404645,405.032436154099,7.42647619999643e-55
"ABCC4",255.9808450878,537.103249081009,481.919777527427,400.662911563462,3.53702668525277e-06
"ABCC5",256.752491601311,253.500095010028,157.033802300409,122.783781077705,0.852388535971003
"ABCC6",413.580809220177,201.761837162768,292.240139682762,93.0087033140413,5.25174657366872e-26
"ABCC6P1",32.9433358620808,4.28811805794763,30.600359189671,3.11476667044623,2.29283465549705e-69
"ABCC6P2",114.181099139674,36.219179740136,66.8773649722016,19.6622994515694,1.62040327073442e-54
