"","Avg_SpecificType","Avg_Normal","SD_SpecificType","SD_Normal","p.val_SpecificType_Normal","pvalue_Adj"
"A1BG",174.278554910267,76.4202786945688,167.063441299144,51.4391236482867,2.73889765776586e-08,2.60906425283604e-07
"A1CF",0.06621061665668,0.0556310135707668,0.218032989561975,0.15302514967352,0.708247572102149,0.766382197186469
"A2BP1",18.2241589371389,2.17749215096134,84.2192159653235,2.74055526636515,0.0400311638934756,0.0735064735884153
"A2LD1",118.062464232782,97.7532531565412,64.0005425932699,44.4603190086671,0.0148095364001785,0.0310525042283525
"A2M",14050.3895787078,7555.52858098046,6198.02998462951,3966.62929149566,1.38760661576445e-14,8.23299533596742e-13
"A2ML1",2.29718344530333,1.56935814798892,10.501617174249,1.68657262371756,0.462385350365078,0.547161927001819
"A4GALT",347.602539440239,264.929516641613,216.061389868239,121.901139804095,0.00135327010224497,0.00379557240768525
"A4GNT",1.17080588346266,1.63199961164995,2.05765734020989,2.51742769703363,0.225549835765949,0.310961109159495
"AAA1",0.00353762677168755,0.00388883009934278,0.0385909520213677,0.0298706707817502,0.94682926987561,0.960081710591958
"AAAS",958.044794426386,719.306822614384,372.176096438813,323.538702069387,2.18085495044119e-05,9.78156005699228e-05
"AACS",1104.18489253562,743.364804842757,466.526477503168,367.546238700188,9.57466425432592e-08,7.92078658523984e-07
"AACSL",0.28962984552152,0.123634272975147,0.63184948250404,0.269097829249956,0.0151911257984126,0.0317494052826654
"AADAC",0.87404337812803,2.83673956214006,2.16433982853522,4.3910812651245,0.00178852664346275,0.00485561306667179
"AADACL2",0.0119601571153034,0.121250641257076,0.0698350953658824,0.205062109287823,0.000176205464163796,0.000625129215038167
"AADACL3",0.0106215784881839,0,0.068583081580958,0,0.0937736277902298,0.151491583465419
"AADACL4",0.0950031900961399,0.172945391070337,0.44779609138304,0.343956679164057,0.201508367977295,0.28406372093246
"AADAT",206.067506348022,165.194685624476,129.499266629933,100.427875825102,0.0220500907477926,0.0439792084291385
"AAGAB",1641.62582726405,1241.14841127575,743.06388199512,680.028159554343,0.000480937459980402,0.00151845010458047
"AAK1",3482.43252253894,3707.8243797527,2283.21740125652,2471.07689358594,0.558252797679787,0.637079201507183
"AAMP",3706.03647788775,2981.05621058799,1500.31528928176,1484.36672536313,0.0027753663669284,0.00711545717486003
"AANAT",2.43284624581985,1.93161907043741,2.03658966234517,1.17831019739621,0.0395405914038273,0.0727469750754074
"AARS",5948.68293256498,4495.74804787223,2706.02839655552,2419.74387230204,0.000417663731758207,0.00134102518365259
"AARS2",509.846351694644,458.985480559241,221.154579904787,229.107316029378,0.161227724448119,0.237686968247449
"AARSD1",992.206158050956,653.543479513204,431.18751955331,327.39736505497,3.44498011341739e-08,3.20980323242222e-07
"AASDH",365.486114847301,376.53958080401,183.896729303761,186.094739174687,0.708725415202977,0.766661148938732
"AASDHPPT",1104.05498689556,878.313111972643,486.713498854985,477.154039866292,0.00381607251742819,0.00945193986336924
"AASS",474.31995546201,565.269649540947,256.732546009327,306.578016191104,0.0524549523600425,0.092686176426215
"AATF",1386.64662288028,1004.4312914739,530.111734837516,451.2541669024,1.66656108847076e-06,9.89103263994445e-06
"AATK",290.135655177909,119.006093903834,267.727989790883,80.0530325407453,1.61405441864758e-09,2.19693792381609e-08
"ABAT",5170.8465762254,3505.87824148626,4435.62391674886,2406.65302462377,0.00141487319228097,0.00395117171503603
"ABCA10",23.5931001212355,59.2015592387374,31.8693750583514,44.6499228179411,4.09296388474076e-07,2.84656740436144e-06
"ABCA1",1330.08428746347,773.737733931284,843.117381718467,510.935420611811,1.70899333760828e-07,1.32652646682754e-06
"ABCA11P",184.653228936186,158.600131016586,101.854993008362,90.442948505928,0.085362609497338,0.140040513290634
"ABCA12",0.922078074539337,0.290968641633322,2.09292575700049,0.530741778249714,0.0023617593149023,0.00618983899499267
"ABCA13",369.463192726094,178.356881544895,776.154564896884,141.21991592571,0.0103596973580371,0.0226980219892562
"ABCA17P",25.9494480529519,25.8804523340534,19.3689170784133,14.0323682125339,0.978428760250382,0.984286730791225
"ABCA2",4552.74417013187,3493.00918062331,3455.29028046634,2178.57998886716,0.0136664790479445,0.0289594371093314
"ABCA3",3646.88317344965,2779.05846734633,1992.27785032196,1510.95849422161,0.00151146542865759,0.00419349824023215
"ABCA4",22.8929876880249,17.9891104196249,19.9485351802917,12.101379814179,0.0437566066269587,0.0793212465553979
"ABCA5",830.302160112162,581.967230317745,579.565879124393,296.76858752511,0.000214367894035492,0.000744388769847377
"ABCA6",25.0847680601384,143.529803702924,32.9264382177032,90.9877609959936,2.78608539914434e-14,1.52207042502435e-12
"ABCA7",857.543349469644,470.137347768734,519.125634392779,216.179112542784,5.27189046339578e-11,1.0867159774804e-09
"ABCA8",577.284838625168,630.524809563146,723.241391390462,450.656900462996,0.548411528138949,0.628214752514367
"ABCA9",20.4385304651894,220.158275529502,34.7055250545768,166.115129149163,5.37967843186777e-13,2.04111328738512e-11
"ABCB10",403.19004085488,424.170746428563,198.715251960595,226.609968043847,0.546436304269287,0.626239118694583
"ABCB11",0.0922349397727512,0.981712359369282,0.288148856271128,2.0106794783043,0.00128516203546342,0.00363154535035204
"ABCB1",200.028069289389,124.287497713449,165.15734282132,78.2145710512565,5.14929677100304e-05,0.00020969488581712
"ABCB4",16.8212119420015,16.972184628246,14.3796011727262,17.6866998700455,0.954740528973814,0.966388421425099
"ABCB5",0.386472534047025,0.335062543108249,0.818712034454611,0.540826084488508,0.618056576023519,0.689738306501661
"ABCB6",838.133463033018,726.763679448819,481.436352705884,406.393502545639,0.108339352266458,0.171028371116993
"ABCB7",512.036807328106,416.092934462489,226.929619622299,217.325436658658,0.00724189019740723,0.0165509022833095
"ABCB8",1213.66110918815,921.590318191201,511.039682554235,462.448057051072,0.000201524793464008,0.000704825650745645
"ABCB9",202.190681508509,94.776521337994,132.120742602869,46.7434841514312,3.32684852969849e-13,1.37155332683137e-11
"ABCC10",617.235044225418,424.418648481647,275.252651567772,186.430180679032,1.42994812846237e-07,1.12966467122106e-06
"ABCC11",145.154547663466,1.61982894017153,711.623944660523,1.21450698075937,0.0297344877060508,0.0568938834145919
"ABCC12",11.0105646968439,0.279233301483317,69.5926495769526,0.536321522540275,0.0952039972094414,0.153448394125417
"ABCC13",0.466999284507595,0.32912172866657,1.40541144090661,0.530891325120573,0.347009665244761,0.434186568840318
"ABCC1",2177.84285751735,1985.16384634634,1166.88249855493,1034.3777146849,0.26463897351132,0.354085671530971
"ABCC2",5.10695037569253,6.62507461626774,4.84354736593772,4.235437645561,0.0338528432358336,0.0636471650682174
"ABCC3",1661.25562385712,335.207419518948,2789.18837106679,405.032436154099,1.30903118672147e-06,7.98720737824099e-06
"ABCC4",563.66693658441,537.10324908101,899.367602771402,400.662911563462,0.785728992217942,0.831691434589611
"ABCC5",281.095417298448,253.500095010028,196.996006060608,122.783781077705,0.254170394717204,0.342554397571481
"ABCC6",593.221037755292,201.761837162768,439.595215532746,93.0087033140414,2.78451823147527e-16,2.53074736537945e-14
"ABCC6P1",32.2841003755729,4.28811805794763,41.0988870091405,3.11476667044623,2.12210370487298e-11,4.93963487531259e-10
"ABCC6P2",139.717709019582,36.219179740136,96.3794750971772,19.6622994515694,3.39936292323597e-21,1.23582293909279e-18
"ABCC8",547.23134904576,176.452630562501,555.993311989599,153.935447445483,2.71953812530592e-10,4.58838463486737e-09
"ABCC9",297.903867433152,257.881599942903,250.700788144114,161.113056293065,0.200151168522783,0.282540775299408
"ABCD1",375.437120014762,270.505547572803,168.808012451543,117.069965551191,3.20044036385304e-06,1.7726538802006e-05
"ABCD2",7.76963136174166,17.7943136619677,9.62204281255394,19.8348478010006,0.000457052744076867,0.00145290454973243
"ABCD3",1662.58560660442,1304.32023205398,864.118003681722,723.749364454638,0.00422026556260162,0.010322227513666
