"deGenes"
"A2M"
"ABCA2"
"ABLIM1"
"ACADVL"
"ACIN1"
"ACTG1"
"ACTN4"
"AES"
"AFAP1L2"
"AGRN"
"AHCY"
"AK1"
"AKT1"
"ALDH1A1"
"ALDH3A2"
"ANXA1"
"ANXA2"
"ANXA2P2"
"ANXA5"
"AP2M1"
"APLP2"
"APOE"
"AQP1"
"ARAP1"
"ARF3"
"ARHGAP36"
"ARHGDIA"
"ARHGDIB"
"ARL6IP5"
"ARMCX2"
"ARMCX3"
"ARPC3"
"ARPC4"
"ASAH1"
"ASS1"
"ATP11A"
"ATP1A1"
"ATP5G2"
"ATP6AP1"
"B2M"
"BAT3"
"BCAM"
"BCAP31"
"BCL2L1"
"BGN"
"BHLHE40"
"BHLHE41"
"BSG"
"BTF3"
"BTG2"
"C10orf72"
"C16orf89"
"C19orf63"
"C1orf115"
"C1orf43"
"C3"
"C3orf10"
"C4A"
"C6orf48"
"CALM2"
"CAP1"
"CAPG"
"CAPN1"
"CAPN2"
"CAPNS1"
"CAST"
"CCND1"
"CCND2"
"CCT3"
"CCT7"
"CD151"
"CD24"
"CD44"
"CD46"
"CD47"
"CD55"
"CD59"
"CD63"
"CD74"
"CD9"
"CDKN1A"
"CFL1"
"CHD4"
"CHI3L1"
"CHMP4B"
"CITED1"
"CITED2"
"CLDN1"
"CLDN3"
"CLDN4"
"CLDN7"
"CLIC1"
"CLTA"
"CLU"
"CMTM6"
"CNN3"
"COL18A1"
"COL1A1"
"COL1A2"
"COL3A1"
"COL4A1"
"COL4A2"
"COL6A2"
"COPG"
"CPD"
"CREB3L2"
"CRIP2"
"CRTAP"
"CSNK1A1"
"CSNK1D"
"CST3"
"CSTB"
"CTGF"
"CTNNA1"
"CTNNB1"
"CTSB"
"CTSC"
"CTSD"
"CTSH"
"CTTN"
"CUTA"
"CXCL14"
"CYBRD1"
"CYR61"
"DAP"
"DAPK2"
"DDR1"
"DHRS3"
"DIAPH1"
"DIO2"
"DOCK9"
"DPP7"
"DPYSL3"
"DSG2"
"DSP"
"DSTN"
"DTX4"
"DUOX1"
"DUOX2"
"DUSP1"
"DUSP5"
"DUSP6"
"ECE1"
"ECH1"
"ECM1"
"EEF1A1"
"EEF1A1P9"
"EEF1D"
"EEF1G"
"EEF2"
"EFHD2"
"EGR1"
"EIF3CL"
"EIF3D"
"EIF3E"
"EIF3H"
"EIF3I"
"EIF4A1"
"EIF4A2"
"EIF5A"
"ENG"
"ENO1"
"ENTPD1"
"ERBB2"
"ERP29"
"EXOC7"
"F11R"
"FAM129B"
"FAM134A"
"FAU"
"FCGBP"
"FHL1"
"FKBP8"
"FLII"
"FLNA"
"FLOT1"
"FN1"
"FOS"
"FOSB"
"FOXP4"
"FTH1"
"FUCA1"
"GABARAP"
"GAPDH"
"GAS6"
"GGA2"
"GJA1"
"GLUL"
"GNAI2"
"GNAS"
"GNB1"
"GNB2"
"GNB2L1"
"GOLGA8A"
"GPR56"
"GPRC5A"
"GPX1"
"GPX3"
"GPX4"
"GRINA"
"GRN"
"GSN"
"GTF2IP1"
"H3F3A"
"HDAC1"
"HEG1"
"HERPUD1"
"HIF1A"
"HINT1"
"HIRA"
"HLA-A"
"HLA-B"
"HLA-C"
"HLA-DRB1"
"HMGB1"
"HMGN1"
"HNRNPA1"
"HNRNPC"
"HP1BP3"
"HSP90AB1"
"HSP90B1"
"HSPB1"
"HSPG2"
"HYOU1"
"ID2"
"ID4"
"IDS"
"IER2"
"IFI6"
"IGF2R"
"IGFBP4"
"IGFBP5"
"IGFBP6"
"IGSF1"
"IQGAP1"
"ISCU"
"ITGA3"
"ITGAV"
"ITGB1"
"ITM2C"
"ITPR3"
"IYD"
"JAK1"
"JUN"
"JUND"
"KDELR1"
"KIAA1217"
"KIAA1522"
"KLF6"
"KRT18"
"KRT19"
"LAMA5"
"LAMB1"
"LAMB2"
"LAMB3"
"LAMC1"
"LAMC2"
"LAMP2"
"LASP1"
"LBH"
"LDHA"
"LENG8"
"LGALS3"
"LGALS3BP"
"LIPG"
"LMNA"
"LMO3"
"LOC286002"
"LONRF2"
"LRP10"
"LRP4"
"LRPAP1"
"LRRK2"
"LTBP3"
"LTBP4"
"LY6E"
"MACF1"
"MALAT1"
"MALL"
"MAP4"
"MAPK1"
"MAPKAPK3"
"MARCKSL1"
"MAT2A"
"MCFD2"
"MDK"
"MED13"
"MEGF9"
"MET"
"METTL7A"
"MFGE8"
"MGAT1"
"MGAT4B"
"MGP"
"MGST1"
"MIF"
"MKNK2"
"MLF2"
"MPZL2"
"MRC2"
"MSN"
"MTCH1"
"MVP"
"MXRA5"
"MXRA7"
"MXRA8"
"MYH10"
"MYH14"
"MYH9"
"MYL12A"
"MYL12B"
"MYL9"
"MYO1C"
"MYO1D"
"MYOF"
"NACA"
"NAP1L1"
"NAV2"
"NCSTN"
"NDUFA13"
"NDUFA4"
"NDUFC2"
"NEAT1"
"NELL2"
"NEU1"
"NKX2-1"
"NME2"
"NONO"
"NPC2"
"NPM1"
"NR4A1"
"NUMA1"
"NUPR1"
"ODC1"
"OGT"
"ORMDL3"
"PABPC1"
"PACS1"
"PAM"
"PAX8"
"PBX3"
"PBXIP1"
"PCSK2"
"PDE5A"
"PDK4"
"PDLIM1"
"PEA15"
"PERP"
"PFDN5"
"PFN1"
"PKM2"
"PKP4"
"PLD3"
"PLEC"
"PLOD2"
"PLS3"
"PLVAP"
"PLXNB1"
"PLXNB2"
"PLXND1"
"PPDPF"
"PPL"
"PPP1CA"
"PPP1CB"
"PPP2R1A"
"PPP2R4"
"PRDX2"
"PRKAR1A"
"PRKCSH"
"PRNP"
"PROS1"
"PRSS23"
"PSAP"
"PSMB4"
"PTMS"
"PTPLAD1"
"PTPRF"
"PTPRM"
"PTRF"
"PTTG1IP"
"PXN"
"PYGB"
"RAB11A"
"RAB7A"
"RAC1"
"RAD23B"
"RALY"
"RAP1GAP"
"RGS5"
"RHBDD2"
"RHOC"
"RNF10"
"RNF187"
"RNH1"
"RPL10"
"RPL10A"
"RPL12"
"RPL13"
"RPL13A"
"RPL14"
"RPL15"
"RPL18"
"RPL19"
"RPL23"
"RPL23A"
"RPL24"
"RPL26"
"RPL27"
"RPL27A"
"RPL28"
"RPL29"
"RPL31"
"RPL32"
"RPL34"
"RPL35"
"RPL3"
"RPL36"
"RPL36AL"
"RPL37"
"RPL37A"
"RPL38"
"RPL41"
"RPL4"
"RPL7A"
"RPL8"
"RPLP0"
"RPLP1"
"RPLP2"
"RPS10"
"RPS11"
"RPS14"
"RPS15"
"RPS15A"
"RPS16"
"RPS17"
"RPS19"
"RPS20"
"RPS24"
"RPS2"
"RPS29"
"RPS3"
"RPS4X"
"RPS5"
"RPS6"
"RPS6KA2"
"RPS7"
"RPS8"
"RPS9"
"RPSA"
"RPSAP58"
"S100A11"
"S100A13"
"S100A14"
"S100A1"
"S100A6"
"SARS"
"SAT1"
"SCARA3"
"SCARB2"
"SCD5"
"SCNN1A"
"SCPEP1"
"SDC2"
"SDC4"
"SDF4"
"SELENBP1"
"SEPT9"
"SEPW1"
"SERPINA1"
"SFTA3"
"SFTPB"
"SH3BGRL3"
"SHISA5"
"SLC17A5"
"SLC20A2"
"SLC25A3"
"SLC26A4"
"SLC26A7"
"SLC34A2"
"SLC3A2"
"SLC40A1"
"SLC44A2"
"SLC7A2"
"SMARCA4"
"SNX1"
"SNX22"
"SNX5"
"SORD"
"SPARC"
"SPINT1"
"SPINT2"
"SPOCK2"
"SPTAN1"
"SPTBN1"
"SQSTM1"
"SRP14"
"SSR3"
"SSR4"
"ST14"
"ST3GAL5"
"STAT1"
"STAT6"
"STOM"
"SUPT5H"
"SYNE2"
"TACSTD2"
"TAGLN2"
"TALDO1"
"TAPBP"
"TCTN3"
"TG"
"TIMP1"
"TJP2"
"TKT"
"TM4SF1"
"TMED3"
"TMEM123"
"TMEM30A"
"TMEM43"
"TMSB10"
"TMSL3"
"TNKS1BP1"
"TNS1"
"TPM3"
"TPM4"
"TPO"
"TPP1"
"TPT1"
"TRAK2"
"TRIM28"
"TRIM8"
"TSC22D1"
"TSC22D3"
"TSPAN3"
"TUBA1B"
"TUBB2C"
"UACA"
"UBA1"
"UBA52"
"UCP2"
"UPF1"
"UQCRC1"
"VAT1"
"VCL"
"VWF"
"WARS"
"WBP2"
"WDR1"
"WDR6"
"WFDC2"
"XBP1"
"YAP1"
"YWHAB"
"YWHAZ"
"ZCCHC12"
"ZFP36"
"ZFP36L1"
"ZFP36L2"
