"","Avg_SpecificType","Avg_Normal","SD_SpecificType","SD_Normal","p.val_SpecificType_Normal","pvalue_Adj"
"ABLIM3",130.835718732465,269.296456957006,85.6580731073857,152.850137043395,0.0018643519397768,0.0112662003994981
"ABO",234.771647177354,299.952684812975,223.669076236959,215.613867961282,0.457535890717296,0.578648332377756
"ABP1",91.4173472038515,11.131388605594,112.394919921754,13.761552370477,0.0831680313468045,0.172194197786372
"ABR",2366.64764577624,877.669135526844,780.155782621155,424.595075036994,0.000878615856723568,0.00645410693111299
"ABRA",0.635815961626922,1.41525167901477,0.518765358187673,3.77497525013775,0.142161265204666,0.254150685996795
"ABT1",562.702233173212,554.793251779265,120.719843646543,255.419338243997,0.885470749041117,0.920429691312982
"ABTB1",561.703185131029,396.734740267177,154.47625835158,168.880156010908,0.0197774364916656,0.0618248943280733
"ABTB2",367.225147479791,84.5035353016713,132.719654469841,61.4907255801335,0.00046388487106823,0.00396344843853263
"ACAA1",1832.0706992349,1487.48836029328,365.880798560061,669.294522765992,0.0437778379468285,0.108461534850275
"ACAA2",1731.86304942076,1927.49254258586,912.393313956765,1085.23734503824,0.590879842015278,0.696238122161769
"ACACA",658.213558366765,829.167369928981,286.643029938025,449.809235483589,0.169223940416612,0.286979788389284
"ACACB",417.799133677909,1692.22503288112,253.479726226342,942.073079342099,2.10271036409413e-10,2.03993979854531e-08
"ACAD10",729.528983539532,868.459958054107,237.893405287991,466.841589332654,0.199683061923729,0.322954762192934
"ACAD11",636.639758876982,491.736801891096,148.077349581999,244.018832488618,0.0343215055014604,0.0914899471231403
"ACAD8",700.454475256266,1214.31648154196,213.008331995815,730.381979968095,0.000150089265171691,0.00168524103185044
"ACAD9",841.417449159973,907.894373909493,218.338330072932,450.10773992358,0.502163843121391,0.618719640042084
"ACADL",459.826075321212,570.844897291453,299.017600538514,290.520977178597,0.348929062841337,0.478838336255124
"ACADM",663.294110550447,1398.6668738588,247.646792603952,726.519609345627,3.93853969844504e-06,8.62197106497965e-05
"ACADS",582.230689525656,803.888456699768,197.71857304419,409.677179756843,0.0220973353620719,0.0669103509564336
"ACADSB",363.0574558524,1005.01866459266,164.178476205885,560.728022935755,4.7864884028143e-08,1.95165843902743e-06
"ACADVL",8595.15753942672,6487.8297886235,2425.58417249487,3268.99905222381,0.0504332845384437,0.120128530955675
"ACAN",68.2911040542824,12.1889137570192,24.5516904087677,10.9614766380229,0.000300769538547884,0.00287541519036992
"ACAP1",203.489682278086,223.004519053,85.4582251816478,323.004934336766,0.70818354884373,0.78965954087467
"ACAP2",1105.90066420569,1187.1469509282,409.554638206949,610.901618757902,0.631937546017265,0.730233998196563
"ACAP3",704.874330485168,398.333320754061,187.913086411206,162.853370635467,0.0019941494292556,0.0118756513032234
"ACAT1",754.870610896789,1922.54981129512,323.619800451244,1289.54771501248,7.5859470650494e-07,2.07208934118007e-05
"ACAT2",226.029944040989,273.108586942894,46.5810872689143,121.27725873033,0.050328645687577,0.120025714237242
"ACBD3",1181.24252185672,1701.8883022444,428.204538820435,913.255061255808,0.0147623791509897,0.0505771087289973
"ACBD4",738.836928059334,553.513630009079,246.614241796051,240.145105941252,0.0768238721787202,0.162527590362844
"ACBD5",771.715500180563,1272.14249881476,251.581127253779,670.683758047093,0.000498748953106298,0.00420254598739738
"ACBD6",356.299902583975,370.51039332046,71.7166950751168,168.107896859236,0.675909711874075,0.765416932071073
"ACBD7",224.422157213408,62.0668168935714,68.4495447881887,45.8275442414615,0.000198850820194302,0.00208639747091453
"ACCN1",1.16877767828211,0.444479931446095,1.1726644658058,0.577295602591805,0.126629897920193,0.232852400526638
"ACCN2",27.274324187812,16.9238674712044,21.8761793448186,15.1535623891886,0.231156374762223,0.358936658879384
"ACCN3",12.6532190055347,8.47554038564697,9.74198191296653,5.82783473811477,0.271504917915059,0.403822811979395
"ACCN4",0.345641645401897,0.224379174289793,0.387116662528764,0.300600183871287,0.41852174243129,0.54349462888059
"ACCN5",0.0477755804533331,0.0185032649734995,0.135129747654701,0.0849408841532649,0.567545590904226,0.675996638259368
"ACCS",481.138540127844,352.472939585838,184.254718844256,176.21384919436,0.0960070347380073,0.191237234968172
"ACCSL",0,0.0749732417060039,0,0.165615099850515,0.000967022329816935,0.00695563833579793
"ACD",417.137755728534,387.021037577375,97.451202050487,146.058143857934,0.459152770263958,0.580267211494266
"ACE",877.034496466853,919.817418376486,469.947895530594,608.40354203612,0.820679195717271,0.873393406409942
"ACE2",24.5906938467064,55.2186824707756,13.6474934463615,34.6397014086711,0.000120806339050988,0.0014028066281074
"ACER1",0.711122911576432,0.530641614064573,0.83541517861656,0.79777565663998,0.578721633690676,0.685802025025824
"ACER2",61.3578974145071,45.5478876947158,38.2046132398041,31.9192027019778,0.294302259092871,0.42847554450913
"ACER3",165.176753395753,241.562620179932,54.3808353607842,131.58415015237,0.00738377212486022,0.0306396983200584
"ACHE",39.3240965232502,58.5607158989468,18.4030656373857,51.021129424257,0.0487116045998766,0.117262723504458
"ACIN1",4217.12441520168,3486.15225500021,1277.00815987613,1677.52677087686,0.173997871915476,0.292581462560057
"ACLY",1855.96748207689,2118.08679245208,704.382157944311,1060.16786681483,0.375657215787005,0.503468403898591
"ACMSD",2.87781331683007,0.436420817818103,3.71050619960116,1.14971148328377,0.105842585471191,0.204957448543158
"ACN9",183.853668884739,231.441448992297,59.7633829654079,117.579993555832,0.0872020788184167,0.178167625298257
"ACO1",1575.79908200039,1578.61546116194,693.797468193147,950.153200953144,0.992005133682504,0.994378230912772
