"deGenes"
"A2M"
"ABLIM1"
"ACADVL"
"ACTG1"
"ACTN4"
"ADAR"
"AES"
"AFAP1L2"
"AGRN"
"AKAP13"
"AKT2"
"ALDH3A2"
"ANXA1"
"ANXA2"
"ANXA2P2"
"ANXA5"
"AP2M1"
"APLP2"
"APOE"
"AQP1"
"ARAP1"
"ARHGDIA"
"ARMCX3"
"ASAH1"
"ASS1"
"ATP11A"
"ATP1A1"
"ATP5B"
"ATP6AP1"
"B2M"
"BAT3"
"BCAM"
"BGN"
"BHLHE40"
"BHLHE41"
"BRD2"
"BSG"
"BTG2"
"C19orf63"
"C3"
"C4A"
"CALM2"
"CALR"
"CAMK2N1"
"CANX"
"CAP1"
"CAPG"
"CAPN1"
"CAPN2"
"CAPNS1"
"CAST"
"CAV2"
"CCND1"
"CCND2"
"CD151"
"CD164"
"CD24"
"CD44"
"CD47"
"CD55"
"CD59"
"CD63"
"CD74"
"CD9"
"CDKN1A"
"CFL1"
"CHD4"
"CHI3L1"
"CITED1"
"CLDN1"
"CLDN3"
"CLDN4"
"CLDN7"
"CLIC1"
"CLSTN1"
"CLTA"
"CLU"
"CNN3"
"COL1A1"
"COL1A2"
"COL3A1"
"COL4A1"
"COL4A2"
"CREB3L2"
"CRIP2"
"CSNK1A1"
"CST3"
"CTGF"
"CTNNA1"
"CTNNB1"
"CTSB"
"CTSC"
"CTSD"
"CTSH"
"CTTN"
"CXCL14"
"CYBRD1"
"CYR61"
"DAP"
"DAPK2"
"DDR1"
"DHRS3"
"DOCK9"
"DPYSL3"
"DSP"
"DSTN"
"DTX4"
"DUSP1"
"DUSP5"
"DUSP6"
"ECE1"
"EEF1A1"
"EEF1A1P9"
"EEF1D"
"EEF1G"
"EEF2"
"EFHD2"
"EGR1"
"EIF3CL"
"EIF3D"
"EIF3E"
"EIF4A1"
"EIF4A2"
"EIF5A"
"ENG"
"ENO1"
"ENTPD1"
"ERBB2"
"F11R"
"FAM129B"
"FCGBP"
"FKBP8"
"FLNA"
"FN1"
"FOS"
"FOSB"
"FOXE1"
"FTH1"
"GAPDH"
"GAS6"
"GJA1"
"GLUL"
"GNAI2"
"GNB1"
"GNB2"
"GNB2L1"
"GPR56"
"GPX1"
"GPX3"
"GPX4"
"GRN"
"GSN"
"GTF2IP1"
"HDGF"
"HEG1"
"HIF1A"
"HLA-A"
"HLA-B"
"HLA-C"
"HLA-DPA1"
"HLA-DRA"
"HLA-DRB1"
"HMGB1"
"HNRNPA1"
"HNRNPC"
"HSP90AB1"
"HSP90B1"
"HSPA5"
"HSPG2"
"ID2"
"IDS"
"IGF2R"
"IGFBP4"
"IGFBP5"
"IGSF1"
"INPP5J"
"IPO7"
"IQGAP1"
"ITGA3"
"ITGAV"
"ITGB1"
"ITPR3"
"IYD"
"JUN"
"KDELR1"
"KIAA1217"
